TimeWindow  TotalIterations  Iterations  Convergence  
     1       4       4       1  
     2       7       3       1  
     3      10       3       1  
     4      13       3       1  
     5      16       3       1  
     6      18       2       1  
     7      20       2       1  
     8      22       2       1  
     9      25       3       1  
    10      27       2       1  
    11      29       2       1  
    12      31       2       1  
    13      33       2       1  
    14      35       2       1  
    15      37       2       1  
    16      39       2       1  
    17      41       2       1  
    18      43       2       1  
    19      45       2       1  
    20      47       2       1  
    21      49       2       1  
    22      51       2       1  
    23      53       2       1  
    24      55       2       1  
    25      57       2       1  
    26      59       2       1  
    27      61       2       1  
    28      63       2       1  
    29      65       2       1  
    30      67       2       1  
    31      69       2       1  
    32      71       2       1  
    33      73       2       1  
    34      75       2       1  
    35      77       2       1  
    36      79       2       1  
    37      81       2       1  
    38      83       2       1  
    39      85       2       1  
    40      87       2       1  
    41      89       2       1  
    42      91       2       1  
    43      93       2       1  
    44      95       2       1  
    45      97       2       1  
    46      99       2       1  
    47     101       2       1  
    48     103       2       1  
    49     105       2       1  
    50     107       2       1  
    51     109       2       1  
    52     111       2       1  
    53     113       2       1  
    54     115       2       1  
    55     117       2       1  
    56     119       2       1  
    57     121       2       1  
    58     123       2       1  
    59     125       2       1  
    60     127       2       1  
    61     129       2       1  
    62     131       2       1  
    63     133       2       1  
    64     135       2       1  
    65     137       2       1  
    66     139       2       1  
    67     141       2       1  
    68     143       2       1  
    69     145       2       1  
    70     147       2       1  
    71     149       2       1  
    72     151       2       1  
    73     153       2       1  
    74     155       2       1  
    75     157       2       1  
    76     159       2       1  
    77     161       2       1  
    78     163       2       1  
    79     165       2       1  
    80     167       2       1  
    81     170       3       1  
    82     172       2       1  
    83     174       2       1  
    84     176       2       1  
    85     178       2       1  
    86     180       2       1  
    87     182       2       1  
    88     184       2       1  
    89     186       2       1  
    90     188       2       1  
    91     190       2       1  
    92     192       2       1  
    93     194       2       1  
    94     196       2       1  
    95     198       2       1  
    96     200       2       1  
    97     202       2       1  
    98     204       2       1  
    99     206       2       1  
   100     208       2       1  
   101     210       2       1  
   102     212       2       1  
   103     214       2       1  
   104     216       2       1  
   105     218       2       1  
   106     220       2       1  
   107     222       2       1  
   108     224       2       1  
